File, Attirbute
NLCD2006_Region.csv, PctUrbLo2006Ws
NLCD2006_Region.csv, PctUrbMd2006Ws
NLCD2006_Region.csv, PctUrbHi2006Ws
NLCD2006_Region.csv, PctBl2006Ws
NLCD2006_Region.csv, PctDecid2006Ws
NLCD2006_Region.csv, PctConif2006Ws
NLCD2006_Region.csv, PctMxFst2006Ws
NLCD2006_Region.csv, PctShrb2006Ws
NLCD2006_Region.csv, PctGrs2006Ws
NLCD2006_Region.csv, PctHay2006Ws
NLCD2006_Region.csv, PctCrop2006Ws
NLCD2006_Region.csv, PctWdWet2006Ws
NLCD2006_Region.csv, PctHbWet2006Ws
NLCD2011RipBuf100_Region.csv, CatAreaSqKmRp100
NLCD2011RipBuf100_Region.csv, WsAreaSqKmRp100
NLCD2011RipBuf100_Region.csv, CatPctFullRp100
NLCD2011RipBuf100_Region.csv, WsPctFullRp100
NLCD2011RipBuf100_Region.csv, PctOw2011CatRp100
NLCD2011RipBuf100_Region.csv, PctIce2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbOp2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbLo2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbMd2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbHi2011CatRp100
NLCD2011RipBuf100_Region.csv, PctBl2011CatRp100
NLCD2011RipBuf100_Region.csv, PctDecid2011CatRp100
NLCD2011RipBuf100_Region.csv, PctConif2011CatRp100
NLCD2011RipBuf100_Region.csv, PctMxFst2011CatRp100
NLCD2011RipBuf100_Region.csv, PctShrb2011CatRp100
NLCD2011RipBuf100_Region.csv, PctGrs2011CatRp100
NLCD2011RipBuf100_Region.csv, PctHay2011CatRp100
NLCD2011RipBuf100_Region.csv, PctCrop2011CatRp100
NLCD2011RipBuf100_Region.csv, PctWdWet2011CatRp100
NLCD2011RipBuf100_Region.csv, PctHbWet2011CatRp100
NLCD2011RipBuf100_Region.csv, PctOw2011WsRp100
NLCD2011RipBuf100_Region.csv, PctIce2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbOp2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbLo2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbMd2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbHi2011WsRp100
NLCD2011RipBuf100_Region.csv, PctBl2011WsRp100
NLCD2011RipBuf100_Region.csv, PctDecid2011WsRp100
NLCD2011RipBuf100_Region.csv, PctConif2011WsRp100
NLCD2011RipBuf100_Region.csv, PctMxFst2011WsRp100
NLCD2011RipBuf100_Region.csv, PctShrb2011WsRp100
NLCD2011RipBuf100_Region.csv, PctGrs2011WsRp100
NLCD2011RipBuf100_Region.csv, PctHay2011WsRp100
NLCD2011RipBuf100_Region.csv, PctCrop2011WsRp100
NLCD2011RipBuf100_Region.csv, PctWdWet2011WsRp100
NLCD2011RipBuf100_Region.csv, PctHbWet2011WsRp100
NLCD2011_Region.csv, CatAreaSqKm
NLCD2011_Region.csv, WsAreaSqKm
NLCD2011_Region.csv, CatPctFull
NLCD2011_Region.csv, WsPctFull
NLCD2011_Region.csv, PctOw2011Cat
NLCD2011_Region.csv, PctIce2011Cat
NLCD2011_Region.csv, PctUrbOp2011Cat
NLCD2011_Region.csv, PctUrbLo2011Cat
NLCD2011_Region.csv, PctUrbMd2011Cat
NLCD2011_Region.csv, PctUrbHi2011Cat
NLCD2011_Region.csv, PctBl2011Cat
NLCD2011_Region.csv, PctDecid2011Cat
NLCD2011_Region.csv, PctConif2011Cat
NLCD2011_Region.csv, PctMxFst2011Cat
NLCD2011_Region.csv, PctShrb2011Cat
NLCD2011_Region.csv, PctGrs2011Cat
NLCD2011_Region.csv, PctHay2011Cat
NLCD2011_Region.csv, PctCrop2011Cat
NLCD2011_Region.csv, PctWdWet2011Cat
NLCD2011_Region.csv, PctHbWet2011Cat
NLCD2011_Region.csv, PctOw2011Ws
NLCD2011_Region.csv, PctIce2011Ws
NLCD2011_Region.csv, PctUrbOp2011Ws
NLCD2011_Region.csv, PctUrbLo2011Ws
NLCD2011_Region.csv, PctUrbMd2011Ws
NLCD2011_Region.csv, PctUrbHi2011Ws
NLCD2011_Region.csv, PctBl2011Ws
NLCD2011_Region.csv, PctDecid2011Ws
NLCD2011_Region.csv, PctConif2011Ws
NLCD2011_Region.csv, PctMxFst2011Ws
NLCD2011_Region.csv, PctShrb2011Ws
NLCD2011_Region.csv, PctGrs2011Ws
NLCD2011_Region.csv, PctHay2011Ws
NLCD2011_Region.csv, PctCrop2011Ws
NLCD2011_Region.csv, PctWdWet2011Ws
NLCD2011_Region.csv, PctHbWet2011Ws
Pesticides97_Region.csv, CatAreaSqKm
Pesticides97_Region.csv, CatPctFull
Pesticides97_Region.csv, WsAreaSqKm
Pesticides97_Region.csv, WsPctFull
Pesticides97_Region.csv, Pestic97Cat
Pesticides97_Region.csv, Pestic97Ws
PRISM_Region.csv, CatAreaSqKm
PRISM_Region.csv, WsAreaSqKm
PRISM_Region.csv, CatPctFull
PRISM_Region.csv, WsPctFull
PRISM_Region.csv, PrecipCat
PRISM_Region.csv, TmaxCat
PRISM_Region.csv, TmeanCat
PRISM_Region.csv, TminCat
PRISM_Region.csv, PrecipWs
PRISM_Region.csv, TmaxWs
PRISM_Region.csv, TmeanWs
PRISM_Region.csv, TminWs
RoadDensityRipBuf100_Region.csv, CatAreaSqKmRp100
RoadDensityRipBuf100_Region.csv, WsAreaSqKmRp100
RoadDensityRipBuf100_Region.csv, CatPctFullRp100
RoadDensityRipBuf100_Region.csv, WsPctFullRp100
RoadDensityRipBuf100_Region.csv, RdDensCatRp100
RoadDensityRipBuf100_Region.csv, RdDensWsRp100
RoadDensity_Region.csv, CatAreaSqKm
RoadDensity_Region.csv, WsAreaSqKm
RoadDensity_Region.csv, CatPctFull
RoadDensity_Region.csv, WsPctFull
RoadDensity_Region.csv, RdDensCat
RoadDensity_Region.csv, RdDensWs
RoadStreamCrossings_Region.csv, CatAreaSqKm
RoadStreamCrossings_Region.csv, CatPctFull
RoadStreamCrossings_Region.csv, WsAreaSqKm
RoadStreamCrossings_Region.csv, WsPctFull
RoadStreamCrossings_Region.csv, RdCrsCat
RoadStreamCrossings_Region.csv, RdCrsWs
Runoff_Region.csv, CatAreaSqKm
Runoff_Region.csv, CatPctFull
Runoff_Region.csv, WsAreaSqKm
Runoff_Region.csv, WsPctFull
Runoff_Region.csv, RunoffCat
Runoff_Region.csv, RunoffWs
STATSGO_Set1_Region.csv, CatAreaSqKm
STATSGO_Set1_Region.csv, CatPctFull
STATSGO_Set1_Region.csv, WsAreaSqKm
STATSGO_Set1_Region.csv, WsPctFull
STATSGO_Set1_Region.csv, ClayCat
STATSGO_Set1_Region.csv, SandCat
STATSGO_Set1_Region.csv, ClayWs
STATSGO_Set1_Region.csv, SandWs
STATSGO_Set2_Region.csv, CatAreaSqKm
STATSGO_Set2_Region.csv, CatPctFull
STATSGO_Set2_Region.csv, WsAreaSqKm
STATSGO_Set2_Region.csv, WsPctFull
STATSGO_Set2_Region.csv, OmCat
STATSGO_Set2_Region.csv, RckDepCat
STATSGO_Set2_Region.csv, WtDepCat
STATSGO_Set2_Region.csv, PermCat
STATSGO_Set2_Region.csv, OmWs
STATSGO_Set2_Region.csv, RckDepWs
STATSGO_Set2_Region.csv, WtDepWs
STATSGO_Set2_Region.csv, PermWs
USCensus2010RipBuf100_Region.csv, CatAreaSqKmRp100
USCensus2010RipBuf100_Region.csv, WsAreaSqKmRp100
USCensus2010RipBuf100_Region.csv, CatPctFullRp100
USCensus2010RipBuf100_Region.csv, WsPctFullRp100
USCensus2010RipBuf100_Region.csv, PopDen2010CatRp100
USCensus2010RipBuf100_Region.csv, PopDen2010WsRp100
USCensus2010_Region.csv, CatAreaSqKm
USCensus2010_Region.csv, WsAreaSqKm
USCensus2010_Region.csv, CatPctFull
USCensus2010_Region.csv, WsPctFull
USCensus2010_Region.csv, HUDen2010Cat
USCensus2010_Region.csv, PopDen2010Cat
USCensus2010_Region.csv, HUDen2010Ws
USCensus2010_Region.csv, PopDen2010Ws
