COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8658130,0.4428,100,0.4428,100,0.0,0.0
8658132,0.1395,100,0.1395,100,0.0,0.0
8658134,0.1026,100,0.1026,100,0.0,0.0
8658136,0.2862,100,0.2862,100,0.0,0.0
8658138,0.63,100,0.63,100,0.0,0.0
8658140,0.11699999999999999,100,0.11699999999999999,100,0.0,0.0
8658142,0.0387,100,0.0387,100,0.0,0.0
8658144,0.45899999999999996,100,0.45899999999999996,100,0.0,0.0
8658146,0.2394,100,0.2394,100,0.0,0.0
8658148,0.2007,100,0.2007,100,0.0,0.0
8658150,0.0972,100,0.0972,100,0.0,0.0
8658152,0.3852,100,0.3852,100,0.0,0.0
8658154,0.1485,100,0.1485,100,0.0,0.0
8658156,0.0513,100,0.0513,100,0.0,0.0
8658158,0.28800000000000003,100,0.28800000000000003,100,0.0,0.0
8658160,0.0972,100,0.0972,100,0.0,0.0
8658162,0.1224,100,0.1224,100,0.0,0.0
8658164,0.054000000000000006,100,0.054000000000000006,100,0.0,0.0
8658166,0.9675,100,0.9675,100,0.0,0.0
8658170,0.1512,100,0.1512,100,0.0,0.0
8658172,0.8469,100,0.8469,100,0.0,0.0
8658174,0.0936,100,0.0936,100,0.0,0.0
8658176,0.0846,100,0.0846,100,0.0,0.0
8658178,0.1584,100,0.1584,100,0.0,0.0
8658180,0.2907,100,0.2907,100,0.0,0.0
8658182,0.0306,100,0.0306,100,0.0,0.0
8658184,0.0846,100,0.0846,100,0.0,0.0
8658188,0.2934,100,0.2934,100,0.0,0.0
8658190,0.5157,100,0.5157,100,0.0,0.0
8658192,0.1206,100,0.1206,100,0.0,0.0
8658194,0.441,100,0.441,100,0.0,0.0
8658196,2.8017,100,2.8017,100,0.0,0.0
8658198,0.3825,100,0.3825,100,0.0,0.0
8658200,0.2178,100,0.2178,100,0.0,0.0
8658202,0.3411,100,0.3411,100,0.0,0.0
8658204,0.1863,100,0.1863,100,0.0,0.0
8658206,0.2295,100,0.2295,100,0.0,0.0
8658208,0.0351,100,0.0351,100,0.0,0.0
8658210,0.1242,100,0.1242,100,0.0,0.0
8658212,0.0774,100,0.0774,100,0.0,0.0
8658216,0.3636,100,0.3636,100,0.0,0.0
8658218,0.2862,100,0.2862,100,0.0,0.0
8658220,0.2556,100,0.2556,100,0.0,0.0
8658222,0.14400000000000002,100,0.14400000000000002,100,0.0,0.0
8658224,0.1341,100,0.1341,100,0.0,0.0
8658226,1.2429,100,2.6838,100,0.0,0.745212012817647
8658228,0.1242,100,0.1242,100,0.0,0.0
8658230,0.0459,100,0.0459,100,0.0,0.0
8658232,0.2736,100,0.2736,100,0.0,0.0
8658234,0.1998,100,0.1998,100,0.0,0.0
8658236,0.14400000000000002,100,0.14400000000000002,100,0.0,0.0
8658238,0.0783,100,0.0783,100,0.0,0.0
8658240,0.0909,100,0.0909,100,0.0,0.0
8658242,0.0207,100,1.6902,100,0.0,0.0
8658244,0.774,100,0.774,100,0.0,0.0
8662698,0.1476,100,1.4517,100,0.0,0.0
8673111,5.7456,100,5.7456,100,0.174046226677806,0.174046226677806
