COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RunoffCat,RunoffWs
9202011,0.1242,100.0,7.7616,100.0,374.76811594202906,367.339517625232
9202013,0.1683,100.0,0.8649,100.0,372.561497326203,368.18210197710704
9202015,0.0972,100.0,3.6918,100.0,375.0,373.82593856655296
9202017,0.3204,100.0,4.0806,100.0,375.0,373.71901191001297
9202019,0.2232,100.0,0.7146,100.0,375.0,375.0
9202021,0.4023,100.0,1.7091,100.0,368.646532438479,367.38757240653
9202023,0.2655,100.0,1.8738,100.0,367.0,367.70317002881796
9202025,0.2853,100.0,0.9639,100.0,375.0,375.0
9202027,0.3348,100.0,60.7482,100.0,375.0,376.255592758304
9202029,0.8856,100.0,1.6596,100.0,375.0,375.0
9202031,1.5669,100.0,26.4501,100.0,375.0,379.93211745891296
9202033,1.9359,100.0,2.6019,100.0,375.0,375.0
9202035,0.8946,100.0,1.1439,100.0,375.0,375.0
9202037,3.267,100.0,39.1671,100.0,375.0,375.184195408902
9202039,1.0314,100.0,3.2175,100.0,375.0,375.0
9202041,0.8586,100.0,1.4148,100.0,375.0,375.0
9202043,0.7884,100.0,27.5112,100.0,375.0,374.74613975399103
9202045,3.2085,100.0,5.3991,100.0,375.0,379.117352892149
9202049,1.4103,100.0,4.0815,100.0,375.0,375.0
9202051,0.7461,100.0,0.7461,100.0,375.0,375.0
9202053,2.5848,100.0,11.2113,100.0,374.949860724234,369.159107329212
9202055,1.3968,100.0,4.9797,100.0,372.840206185567,369.03578528827006
9202057,1.9395,100.0,1.9395,100.0,375.0,375.0
9202059,1.1772,100.0,1.6038,100.0,375.0,375.0
9202061,2.3787,100.0,14.1507,100.0,375.0,375.0
9202063,5.6412,100.0,68.04899999999999,100.0,375.0,376.12088348102094
9202065,0.9387,100.0,0.9387,100.0,375.0,375.0
9202067,3.1878,100.0,5.7897,100.0,375.0,375.0
9202069,2.0817,100.0,9.8541,100.0,375.0,374.02968307608
9202071,2.412,100.0,3.4506,100.0,375.0,375.0
9202073,1.1799,100.0,1.1799,100.0,375.0,375.0
