COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,CanalDensCat,CanalDensWs
10961292,1.1997,100,1.1997,100,0.0,0.0
10961294,0.3861,100,5.8689,100,0.0,0.0
10961296,3.3588,100,3.3588,100,0.0,0.0
10961298,0.9774,100,152.8929,100,0.0,0.0
10961300,0.1683,100,6.7293,100,0.0,0.0
10961302,1.4418,100,80.8893,100,0.0,0.0
10961304,3.3480000000000003,100,3.3480000000000003,100,0.0,0.0
10961306,1.521,100,84.7242,100,0.0,0.0
10961308,3.0582,100,161.71200000000002,100,0.0,0.0
10961310,2.9331,100,3.8358,100,0.0,0.0
10961312,0.153,100,89.2017,100,0.0,0.0
10961314,1.935,100,1.935,100,0.0,0.0
10961316,8.4537,100,8.4537,100,0.0,0.0
10961318,0.9675,100,0.9675,100,0.0,0.0
10961320,2.2923,100,2.2923,100,0.0,0.0
10961322,4.1085,100,10.2708,100,0.0,0.0
10961324,0.9729,100,97.56,100,0.0,0.0
10961326,0.9747,100,2.1942,100,0.0,0.0
10961328,1.2114,100,1.2114,100,0.0,0.0
10961330,2.5623,100,2.5623,100,0.0,0.0
10961332,2.7126,100,2.7126,100,0.0,0.0
10961334,7.9488,100,38.7054,100,0.0,0.0
10961336,6.3603,100,27.0522,100,0.0256034047794915,0.00601967068922306
10961338,6.1731,100,6.1731,100,0.0,0.0
10961340,1.8288,100,1.8288,100,0.0,0.0
10961342,2.6028,100,2.6028,100,0.0,0.0
10961344,0.414,100,127.1214,100,0.0,0.0
10961346,1.0449,100,136.1745,100,0.0,0.0
10961348,3.0807,100,132.0309,100,0.0,0.0
10961350,1.9404,100,7.9722,100,0.0,0.0
10961354,2.1681,100,368.1657,100,0.0,0.0
10961356,1.7991,100,1.7991,100,0.0,0.0
10961358,2.4678,100,2.4678,100,0.0,0.0
10961360,1.7937,100,1.7937,100,0.0,0.0
10961362,1.6974,100,1.6974,100,0.0,0.0
10961364,3.5388,100,7.0299,100,0.0,0.0
10961366,2.2554,100,2.2554,100,0.0,0.0
10961368,3.0141,100,10.044,100,0.0,0.0
10961370,20.6244,100,67.9167,100,0.0,0.075113230878856
10961372,0.828,100,35.0334,100,0.0,0.0
10961374,2.0079,100,2.0079,100,0.0,0.0
10961376,0.3762,100,85.5684,100,0.0,0.0596183026401101
10961378,3.321,100,4.4127,100,0.0,0.0
10961380,1.6578,100,1.6578,100,0.0,0.0
10961382,0.8154,100,0.8154,100,0.0,0.0
10961384,8.3763,100,12.474,100,0.0,0.0
10961386,3.9419999999999997,100,3.9419999999999997,100,0.0,0.0
10961388,0.8361,100,431.9901,100,0.0,0.0
10961390,1.1034,100,1.1034,100,0.0,0.0
10961392,0.5733,100,3.6441,100,0.0,0.0
10961394,1.6686,100,4.6827,100,0.0,0.0
10961396,6.8517,100,37.0062,100,0.0,0.0
10961398,4.0977,100,4.0977,100,0.0,0.0
10961400,1.1583,100,21.4218,100,0.0,0.0
10961402,2.9826,100,42.0759,100,0.0,0.0
10961404,0.9738,100,0.9738,100,0.0,0.0
10961406,12.6171,100,12.6171,100,0.0,0.0
10961408,5.0625,100,5.0625,100,0.0,0.0
10961410,3.4326,100,4.4721,100,0.0,0.0
10961412,3.1266,100,3.1266,100,0.0,0.0
10961414,1.8576,100,2.8971,100,0.0,0.0
10961416,8.2872,100,9.261000000000001,100,0.0,0.0
10961418,6.0066,100,6.0066,100,0.0,0.0
10961420,4.9266,100,25.38,100,0.0,0.0
10961422,2.6739,100,2.6739,100,0.0,0.0
10961424,4.176,100,4.176,100,0.0,0.0
10961426,0.504,100,13.5648,100,0.0,0.0
10961428,2.5785,100,49.0644,100,0.0,0.0
10961430,5.3469,100,5.3469,100,0.0,0.0
10961432,3.5388,100,34.9254,100,0.0,0.0
10961434,2.0214,100,2.0214,100,0.0,0.0
10961436,0.6912,100,24.0939,100,0.0,0.0
10961438,2.5038,100,2.5038,100,0.0,0.0
10961440,2.8404,100,2.8404,100,0.0,0.0
10961442,8.9073,100,8.9073,100,0.0,0.0
10961444,2.8161,100,2.8161,100,0.0,0.0
10961446,6.6582,100,6.6582,100,0.0,0.0
10961448,5.0868,100,14.5611,100,0.0,0.0
10961460,12.3489,100,12.3489,100,0.0,0.0
10961466,11.3481,100,11.3481,100,0.0,0.0
10961468,0.3231,100,3.0996,100,0.0,0.0
10961470,0.3492,100,3.4623,100,0.0,0.0
10961472,0.1953,100,153.0882,100,0.0,0.0
10961474,0.5373,100,157.0878,100,0.0,0.0
10961476,0.1521,100,157.2471,100,0.0,0.0
10961478,0.0891,100,3.7332,100,0.0,0.0
10961482,0.6687,100,5.3514,100,0.0,0.0
10961484,1.4328,100,545.4036,100,0.0,0.00935351869263423
10961486,0.0018,100,21.4236,100,0.0,0.0
10961488,1.4103,100,550.5471,100,0.0,0.00926613321118211
10961490,0.0477,100,3.1743,100,0.0,0.0
10961492,0.1251,100,42.9111,100,0.0,0.0
10961494,0.1017,100,46.1871,100,0.0,0.0
10961496,0.10800000000000001,100,2.8674,100,0.0,0.0
10961498,2.9565,100,558.855,100,0.0,0.0091283835120559
10961500,2.2302,100,5.1273,100,0.0,0.0
10961502,0.6291,100,49.9779,100,0.0,0.0
10961504,0.0693,100,563.0121,100,0.0,0.009060982468458491
10961506,3.0483,100,616.0383,100,0.0,0.00828104805761265
10961508,2.0205,100,18.0963,100,0.0,0.0
10961510,0.3681,100,35.2935,100,0.0,0.0
10961512,0.2403,100,40.0374,100,0.0,0.0
10961516,2.5785,100,6.5025,100,0.0,0.0
10961518,0.5544,100,40.5918,100,0.0,0.0
10961520,0.1026,100,40.6215,100,0.0,0.0
10961522,1.1889,100,42.3648,100,0.0,0.0
10961524,2.8728,100,51.7401,100,0.0,0.0
10961526,7.3458,100,641.4804,100,0.0,0.007952608945854
10961528,0.4437,100,13.0608,100,0.0,0.0
10961530,0.2205,100,3.6576,100,0.0,0.0
